pr_ref,po_ref,item,brand,type,serial_number,ghrs_id,badge_id,assignment_date,location,remarks,dept/project,delivery_date,status,service_tag,username,device_name,specifications
10000001,2000001,DESKTOP,,HP Prodesk 400 G6 SFF,SN0010001,111111,ABC000001,2021-09-10,Main Office 1st Floor,,HSES,2021-09-14,In Use,,User A,DEV001,
10000002,2000002,DESKTOP,,HP Prodesk 400 G6 SFF,SN0010002,111112,ABC000002,2021-09-11,Quality Room,,Quality,2021-09-13,In Use,,User B,DEV002,
10000003,2000003,DESKTOP,,HP Prodesk 400 G6 SFF,SN0010003,111113,ABC000003,2021-09-12,PC Sharing Area,,Production,2021-09-12,In Use,,User C,DEV003,
10000004,2000004,DESKTOP,,HP Prodesk 400 G6 SFF,SN0010004,111114,ABC000004,2021-09-08,QC Lab,,Quality,2021-09-10,In Use,,User D,DEV004,
10000005,2000005,DESKTOP,,HP Prodesk 600 G5 SFF,SN0010005,111115,ABC000005,2021-09-07,Assembly Hall,,Engineering,2021-09-09,In Use,,User E,DEV005,
10000006,2000006,DESKTOP,,HP Prodesk 600 G5 SFF,SN0010006,111116,ABC000006,2021-09-05,Dumping Area,,HSES,2021-09-08,In Use,,User F,DEV006,
10000007,2000007,DESKTOP,,HP Prodesk 400 G6 SFF,SN0010007,111117,ABC000007,2021-09-06,Main Office 2nd Floor,,Administration,2021-09-08,In Use,,User G,DEV007,
10000008,2000008,DESKTOP,,HP Prodesk 400 G6 SFF,SN0010008,111118,ABC000008,2021-09-03,Container Area,,Quality,2021-09-06,In Use,,User H,DEV008,
10000009,2000009,DESKTOP,,HP Prodesk 600 G5 SFF,SN0010009,111119,ABC000009,2021-09-02,Workshop,,Production,2021-09-05,In Use,,User I,DEV009,
10000010,2000010,DESKTOP,,HP Prodesk 600 G5 SFF,SN0010010,111120,ABC000010,2021-09-01,Engineering Office,,Engineering,2021-09-04,In Use,,User J,DEV010,
